H2NC+       E-                      CN          H2                                  1.80E-08    -0.50      0.0   10.  300.  5 C DR
C2H4+       E-                      C2H2        H2                                  3.36E-08    -0.76      0.0   10.  300.  5 C DR
C2H4+       E-                      C2H         H2          H                       5.60E-08    -0.76      0.0   10.  300.  5 C DR
C2H5+       E-                      C2H2        H2          H                       8.12E-08    -0.79      0.0   10.  300.  5 A DR
H3CO+       E-                      CO          H2          H                       2.00E-07    -0.50      0.0   10.  300.  5 C DR
PH2+        E-                      P           H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
PH3+        E-                      PH          H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
C3H2+       E-                      C3          H2                                  6.00E-08    -0.50      0.0   10.  300.  5 C DR
CH3CNH+     E-                      CH2CN       H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiNH2+      E-                      SiN         H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
PCH2+       E-                      CP          H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
PCH3+       E-                      CP          H2          H                       1.50E-07    -0.50      0.0   10.  300.  5 C DR
PCH3+       E-                      HCP         H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2SiO+      E-                      SiO         H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
PCH4+       E-                      HCP         H2          H                       1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3CS+       E-                      CS          H2          H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
H3SiO+      E-                      SiO         H2          H                       1.50E-07    -0.50      0.0   10.  300.  5 C DR
HC3NH+      E-                      C3N         H2                                  4.90E-08    -0.58      0.0   10.  300.  5 A DR
SiC2H2+     E-                      SiC2        H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3C3O+      E-                      C3O         H2          H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
SiC2H3+     E-                      SiC2H       H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH4                                 CH2         H2                                  9.80E-10     0.00      2.2   10.41000.  3 B PH
CH4                                 CH          H2          H                       2.20E-10     0.00      2.2   10.41000.  3 B PH
CH4                                 CH2         H2                                  1.30E-17     0.00   1169.5   10.41000.  2 C CR
H2CS                                CS          H2                                  1.30E-17     0.00    750.0   10.41000.  2 A CR
H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
H           OH-                     H2O         E-                                  1.40E-09     0.00      0.0   10.41000.  5 C AD
H           CN-                     HCN         E-                                  1.30E-09     0.00      0.0   10.41000.  5 C AD
C           C2H2                    C3H         H                                   1.45E-10    -0.12      0.0   15.  300.  5 A NN
C           C2H4                    C3H3        H                                   3.00E-10    -0.11      0.0   15.  300.  5 A NN
C           CH2CN                   HC3N        H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
CH          N                       CN          H                                   1.66E-10    -0.09      0.0  222.  584.  5 A NN
CH          O                       CO          H                                   6.60E-11     0.00      0.0   10. 2000.  5 A NN
